"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-02","1 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,219.025
"2020-05-02","2 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,183.05
"2020-05-02","3 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,151.05
"2020-05-02","4 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,124.025
"2020-05-02","5 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,100.025
"2020-05-02","6 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,80
"2020-05-02","7 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,63
"2020-05-02","8 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,49
"2020-05-02","9 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,37.025
"2020-05-02","10 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,28
"2020-05-02","11 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,21
"2020-05-02","12 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,15
"2020-05-02","13 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,11
"2020-05-02","14 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,8
"2020-05-02","15 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,5
"2020-05-02","16 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,4
"2020-05-02","17 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,2
"2020-05-02","18 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,2
"2020-05-02","19 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,1
"2020-05-02","20 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,1
"2020-05-02","21 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,0
"2020-05-02","22 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,0
"2020-05-02","23 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,0
"2020-05-02","24 day ahead inc death",2020-05-26,"Belgium","quantile",0.975,0
"2020-05-02","25 day ahead inc death",2020-05-27,"Belgium","quantile",0.975,0
"2020-05-02","26 day ahead inc death",2020-05-28,"Belgium","quantile",0.975,0
"2020-05-02","27 day ahead inc death",2020-05-29,"Belgium","quantile",0.975,0
"2020-05-02","28 day ahead inc death",2020-05-30,"Belgium","quantile",0.975,0
"2020-05-02","1 wk ahead inc death",2020-05-03,"Belgium","point",NA,261.096
"2020-05-02","2 wk ahead inc death",2020-05-10,"Belgium","point",NA,41.672
"2020-05-02","3 wk ahead inc death",2020-05-17,"Belgium","point",NA,2.952
"2020-05-02","4 wk ahead inc death",2020-05-24,"Belgium","point",NA,0.005
"2020-05-02","1 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,38
"2020-05-02","2 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,3
"2020-05-02","3 wk ahead inc death",2020-05-17,"Belgium","quantile",0.025,0
"2020-05-02","4 wk ahead inc death",2020-05-24,"Belgium","quantile",0.025,0
"2020-05-02","1 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,920.175
"2020-05-02","2 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,169.025
"2020-05-02","3 wk ahead inc death",2020-05-17,"Belgium","quantile",0.975,15
"2020-05-02","4 wk ahead inc death",2020-05-24,"Belgium","quantile",0.975,0
