"forecast_date","target","target_end_date","location","type","quantile","value"
2020-05-09,"24 day ahead inc death",2020-06-02,"Belgium","quantile",0.025,116.571428571429
2020-05-09,"25 day ahead inc death",2020-06-03,"Belgium","quantile",0.025,116.571428571429
2020-05-09,"26 day ahead inc death",2020-06-04,"Belgium","quantile",0.025,116.571428571429
2020-05-09,"27 day ahead inc death",2020-06-05,"Belgium","quantile",0.025,116.571428571429
2020-05-09,"28 day ahead inc death",2020-06-06,"Belgium","quantile",0.025,116.571428571429
2020-05-09,"1 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"2 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"3 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"4 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"5 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"6 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"7 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"8 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"9 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"10 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"11 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"12 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"13 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"14 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"15 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"16 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"17 day ahead inc death",2020-05-26,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"18 day ahead inc death",2020-05-27,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"19 day ahead inc death",2020-05-28,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"20 day ahead inc death",2020-05-29,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"21 day ahead inc death",2020-05-30,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"22 day ahead inc death",2020-05-31,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"23 day ahead inc death",2020-06-01,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"24 day ahead inc death",2020-06-02,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"25 day ahead inc death",2020-06-03,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"26 day ahead inc death",2020-06-04,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"27 day ahead inc death",2020-06-05,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"28 day ahead inc death",2020-06-06,"Belgium","quantile",0.975,116.571428571429
2020-05-09,"1 wk ahead inc death",2020-05-10,"Belgium","point",NA,816
2020-05-09,"2 wk ahead inc death",2020-05-17,"Belgium","point",NA,816
2020-05-09,"3 wk ahead inc death",2020-05-24,"Belgium","point",NA,816
2020-05-09,"4 wk ahead inc death",2020-05-31,"Belgium","point",NA,816
2020-05-09,"1 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,816
2020-05-09,"2 wk ahead inc death",2020-05-17,"Belgium","quantile",0.025,816
2020-05-09,"3 wk ahead inc death",2020-05-24,"Belgium","quantile",0.025,816
2020-05-09,"4 wk ahead inc death",2020-05-31,"Belgium","quantile",0.025,816
2020-05-09,"1 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,816
2020-05-09,"2 wk ahead inc death",2020-05-17,"Belgium","quantile",0.975,816
2020-05-09,"3 wk ahead inc death",2020-05-24,"Belgium","quantile",0.975,816
2020-05-09,"4 wk ahead inc death",2020-05-31,"Belgium","quantile",0.975,816
